month,Бонусная программа,Возвраты,Документы,Доставка,Качество товара,Личный кабинет,Мобильное приложение,Оплата,Поддержка,Цена
2025-01,4,9,6,18,4,4,7,13,8,8
2025-02,6,16,3,14,12,7,4,9,12,11
2025-03,5,4,3,21,11,11,6,10,7,7
2025-04,8,8,4,9,4,4,3,9,9,4
2025-05,10,6,2,23,6,9,8,13,8,5
2025-06,7,4,5,22,6,6,7,10,8,5
2025-07,8,5,3,18,6,7,3,10,11,5
2025-08,5,10,3,37,8,5,3,8,15,8
2025-09,8,8,3,8,10,0,15,5,11,5
2025-10,6,14,5,18,4,11,5,7,10,4
2025-11,1,9,5,8,9,6,3,25,9,3
2025-12,9,8,2,29,6,7,6,9,11,8
