category,summary,requests,avg_severity,critical,high_churn,priority_score
Оплата,Двойное списание заказа,38,4.526315789473684,24,24,204.63157894736844
Качество товара,Поврежденный товар,26,4.576923076923077,16,20,156.8846153846154
Качество товара,Брак товара,26,3.730769230769231,4,17,107.65384615384616
Доставка,Задержка доставки,54,3.2222222222222223,5,7,106.11111111111111
Оплата,Ошибка оплаты банковской картой,62,2.435483870967742,4,6,104.1774193548387
Доставка,Поврежденная упаковка при доставке,40,2.5,3,3,70.5
Поддержка,Долгое ожидание ответа,47,2.127659574468085,2,2,69.63829787234042
Поддержка,Отсутствие ответа в поддержке,36,2.9722222222222223,1,5,68.86111111111111
Доставка,Задержка курьера,43,2.2325581395348837,2,2,66.16279069767441
Качество товара,Несоответствие товара описанию,29,3.1724137931034484,2,4,62.86206896551724
Оплата,Ожидание возврата после отмены заказа,7,4.571428571428571,4,7,62.857142857142854
Доставка,Проблема поиска адреса доставки,49,2.0816326530612246,0,0,59.40816326530612
Бонусная программа,Не начислены бонусы,27,2.4814814814814814,1,5,57.407407407407405
Возвраты,Отказ в возврате без объяснения,30,3.0,2,2,57.0
Возвраты,Задержка возврата средств,29,2.5172413793103448,0,5,56.58620689655172
Оплата,Отсутствие возврата после отмены заказа,32,2.96875,0,2,52.84375
Цена,Проблема активации промокода,9,3.6666666666666665,4,4,51.33333333333333
Мобильное приложение,Приложение не запускается после обновления,27,2.4074074074074074,2,2,51.03703703703704
Возвраты,Сложность оформления возврата,26,2.230769230769231,2,2,49.15384615384615
Мобильное приложение,Ошибка авторизации,4,4.75,3,4,48.75
Доставка,Отсутствие уведомления о доставке,34,2.1176470588235294,0,0,44.588235294117645
Мобильное приложение,Зависание при оформлении заказа,16,2.4375,1,3,40.1875
Мобильное приложение,"Текст короткий и понятный, но нужно убрать лишнее. В тексте клиент говорит, что товар исчезает из корзины после добавления. Нужно создать название проблемы в 3-7 словах без слов 'клиент', 'пользователь', 'человек'. Примеры: 'Ошибка оплаты банковской картой' — 4 слова, 'Сложность оформления возврата' — 4 слова, 'Проблема поиска адреса доставки' — ... В данном случае проблема — товар исчезает из корзины после добавления. Можно назвать как 'Товар исчезает из корзины' — 5 слов. Но нужно проверить, не слишком ли длинно. Или 'Проблема добавления товара в корзину' — 5 слов. Но в примерах использованы краткие формулировки. В примере 'Ошибка оплаты банковской картой' — это проблема с оплатой, а здесь проблема с добавлением товара в корзину. Возможно, лучше 'Товар исчезает после добавления в корзину' — 6 слов. Но в тексте клиент говорит ",2,5.0,2,2,39.0
Доставка,Курьер не пришёл в срок,2,5.0,2,2,39.0
Личный кабинет,Проблема входа в личный кабинет,20,2.2,0,2,37.0
Бонусная программа,Бонусные баллы исчезли,22,2.9545454545454546,0,0,36.77272727272727
Качество товара,Поврежденный товар неиспользуемый,6,3.6666666666666665,2,2,36.33333333333333
Поддержка,Переключения между отделами,20,2.95,0,0,34.75
Бонусная программа,Ошибка использования бонусов при оплате,6,3.3333333333333335,2,2,34.66666666666667
Поддержка,Оператор не решает вопросы,1,5.0,1,1,32.0
Цена,Скидка не применяется при оформлении,1,5.0,1,1,32.0
Личный кабинет,Ошибка входа в личный кабин: 3 слова,3,4.0,0,3,32.0
Бонусная программа,Проблема использования бонусов при оплате,18,2.111111111111111,0,1,31.555555555555557
Мобильное приложение,Товар исчезает из корзины,14,2.857142857142857,0,1,31.285714285714285
Мобильное приложение,Ошибка входа в приложение,17,2.764705882352941,0,0,30.823529411764707
Личный кабинет,Пропажа истории заказов,6,3.3333333333333335,1,1,28.666666666666668
Цена,Скидка не применилась при оформлении заказа,18,2.0,0,0,28.0
Документы,Отсутствие электронного чека после покупки,17,2.1176470588235294,0,0,27.588235294117645
Личный кабинет,Ошибка изменения номера телефона,16,2.0,0,0,26.0
Цена,Неправильная цена в корзине,15,2.1333333333333333,0,0,25.666666666666664
Документы,Отсутствие счета на заказ,14,2.2857142857142856,0,0,25.428571428571427
Документы,Неверные данные в документах,6,2.6666666666666665,1,1,25.333333333333332
Документы,Неверные данные в документах заказа,13,2.076923076923077,0,0,23.384615384615387
Личный кабинет,Проблема отсутствия истории заказов,12,2.0833333333333335,0,0,22.416666666666668
Мобильное приложение,Проблема входа в приложение,8,2.25,0,1,22.25
Поддержка,Проблема с переключением между отделами,5,2.4,0,1,20.0
Поддержка,Проблема переключения между отделами,4,3.0,0,0,19.0
Поддержка,Переключения между отделами без решения,4,3.0,0,0,19.0
Цена,Проблема с действующим промокодом,8,2.0,0,0,18.0
Цена,Скидка не применилась при оформлении,2,3.0,0,0,17.0
Цена,Неверная цена в корзине,2,3.0,0,0,17.0
Поддержка,Недовольство переключением между отделами,2,3.0,0,0,17.0
Цена,Не применена обещанная скидка,5,2.0,0,0,15.0
Документы,Отсутствие электронного чека,4,2.0,0,0,14.0
Цена,Соотношение цен в корзине и товара,3,2.0,0,0,13.0
Документы,Ошибка получения счета,3,2.0,0,0,13.0
Личный кабинет,Не могу изменить номер телефона,3,2.0,0,0,13.0
Мобильное приложение,Текст должен быть 3-7 слов,3,2.0,0,0,13.0
Цена,Непостоянство цены товара,2,2.0,0,0,12.0
Личный кабинет,Невозможность изменения номера телефона,1,2.0,0,0,11.0
Мобильное приложение,Ошибка при оформлении заказа,1,2.0,0,0,11.0
