id,date,theme,text,category
467,2025-01-01,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Надеюсь, вопрос получится быстро решить.",Поддержка
95,2025-01-02,Возврат товара,"Хочу вернуть товар, но не понимаю, как оформить возврат. Очень недоволен этой ситуацией.",Возвраты
647,2025-01-02,История заказов,"В личном кабинете пропала история моих заказов. Хотелось бы понять, что делать дальше.",Личный кабинет
735,2025-01-03,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена
913,2025-01-04,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара.",Цена
915,2025-01-05,Чек,Не получил электронный чек после покупки. Поддержка тоже не помогла.,Документы
859,2025-01-05,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает. Хотелось бы понять, что делать дальше.",Поддержка
88,2025-01-05,Корзина,"Добавляю товар в корзину, но он сразу исчезает. Если вопрос не решится, больше у вас покупать не буду.",Мобильное приложение
889,2025-01-06,Курьер,Курьер не приехал в назначенное время и не позвонил. Прошу помочь разобраться.,Доставка
872,2025-01-07,Счет,Не могу получить счет на заказ.,Документы
209,2025-01-07,Долгое ожидание,"Очень долго ждал ответа оператора. Хотелось бы понять, что делать дальше.",Поддержка
677,2025-01-08,Двойное списание,С карты дважды списали деньги за один заказ. Это уже не первый раз.,Оплата
652,2025-01-09,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата
568,2025-01-09,Отказ в возврате,Мне отказали в возврате товара без понятного объяснения.,Возвраты
196,2025-01-09,Задержка доставки,"Жду заказ уже несколько дней дольше обещанного срока. Подскажите, пожалуйста, как решить эту проблему.",Доставка
167,2025-01-10,Авторизация,Не могу войти в личный кабинет.,Личный кабинет
954,2025-01-10,Документы,В документах к заказу указаны неверные данные.,Документы
236,2025-01-11,Документы,В документах к заказу указаны неверные данные. Прошу срочно решить проблему.,Документы
170,2025-01-11,Нет ответа,"Пишу в поддержку уже второй день, никто не отвечает.",Поддержка
995,2025-01-11,Ошибка оплаты,"Не могу оплатить заказ банковской картой, постоянно появляется ошибка.",Оплата
972,2025-01-12,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Поддержка тоже не помогла.,Доставка
548,2025-01-12,Адрес доставки,"Курьер сообщил, что не может найти мой адрес. Прошу помочь разобраться.",Доставка
296,2025-01-12,Документы,"В документах к заказу указаны неверные данные. Подскажите, пожалуйста, как решить эту проблему.",Документы
776,2025-01-13,Поврежденный товар,"Товар приехал поврежденным и пользоваться им невозможно. Подскажите, пожалуйста, как решить эту проблему.",Качество товара
111,2025-01-13,Ошибка приложения,Приложение зависает при оформлении заказа.,Мобильное приложение
453,2025-01-14,Возврат денег,"Товар вернул неделю назад, а деньги еще не поступили. Прошу помочь разобраться.",Возвраты
532,2025-01-15,Повреждение,Заказ приехал с поврежденной упаковкой.,Доставка
999,2025-01-16,Несоответствие,Товар совсем не соответствует описанию на сайте.,Качество товара
169,2025-01-16,Изменилась цена,"В корзине цена товара оказалась выше, чем на странице товара. Прошу срочно решить проблему.",Цена
4,2025-01-16,Задержка доставки,Жду заказ уже несколько дней дольше обещанного срока. Прошу помочь разобраться.,Доставка
958,2025-01-16,Скидка,Обещанная скидка не применилась при оформлении заказа.,Цена
23,2025-01-17,Списание бонусов,Не получается использовать накопленные бонусы при оплате.,Бонусная программа
54,2025-01-17,Не начислены бонусы,За покупку не начислили обещанные бонусы. Прошу помочь разобраться.,Бонусная программа
719,2025-01-17,Курьер,Курьер не приехал в назначенное время и не позвонил.,Доставка
